,EXT,EST,AGR,CSN,OPN,Clusters,lat,long
282,-0.1,1.8,0.5,0.6,1.1,3,45.3333,-79.2167
283,0.9,2.7,1.8,0.1,1.6,4,43.4353,-80.0997
284,0.7,2.0,2.2,0.3,0.8,4,43.6425,-79.3872
285,0.2,1.1,2.2,0.8,1.9,5,44.341,-64.2938
286,-0.5,1.0,2.3,2.1,1.4,0,49.25,-123.1333
287,-0.8,2.3,1.2,1.9,2.1,0,49.2765,-123.2177
288,-0.7,1.9,1.5,0.8,1.1,0,52.1449,-106.6704
289,-1.2,2.6,1.6,1.0,1.0,2,53.5462,-113.2562
290,0.5,0.6,1.6,0.0,0.7,1,42.3158,-83.0568
291,-0.2,1.2,1.3,-1.1,1.4,1,43.6383,-79.5356
292,0.4,1.6,0.6,1.2,1.0,1,45.8919,-64.3699
293,-1.4,1.5,0.7,1.5,0.0,3,43.639,-79.4499
294,-1.4,1.9,1.7,1.7,1.3,0,49.2371,-123.0229
295,0.6,0.1,1.1,1.0,2.1,5,45.4354,-75.6475
296,-0.5,2.6,2.3,0.1,2.0,2,43.6392,-79.4058
297,-0.8,2.1,1.4,1.6,1.3,0,43.898,-78.8656
298,-0.3,0.4,1.1,2.4,1.8,5,43.6425,-79.3872
299,0.1,2.0,1.2,1.5,1.4,0,42.3159,-83.0393
300,-0.2,1.5,0.2,0.6,0.8,3,43.6425,-79.3872
301,-0.5,1.6,-0.2,1.6,1.0,3,45.5452,-73.6266
302,0.5,1.6,2.4,0.7,1.7,4,45.5123,-73.5967
303,0.4,2.7,1.7,0.1,2.2,4,45.5115,-73.616
304,0.6,2.3,2.1,0.4,2.4,4,46.8143,-71.2431
305,1.0,2.7,1.0,1.4,1.2,4,43.7964,-79.4278
306,-0.7,1.7,0.9,1.2,1.6,3,43.5747,-79.7278
307,-0.8,3.5,2.5,0.8,2.1,2,49.6833,-124.9333
308,-0.1,3.7,0.9,1.4,2.1,2,43.6425,-79.3872
309,-0.9,0.5,1.5,0.6,1.5,1,43.6403,-79.4374
310,-1.0,1.8,1.2,1.9,1.1,0,44.0414,-79.4534
311,1.1,2.0,2.2,1.6,1.0,4,43.6425,-79.3872
312,-1.0,1.4,1.2,-0.6,2.5,1,43.6425,-79.3872
313,0.1,1.0,1.1,0.4,1.2,1,43.5325,-80.2531
314,-1.0,2.7,1.0,0.9,0.2,2,43.3831,-80.3191
315,-0.3,0.5,2.1,0.6,0.5,1,48.4192,-123.3856
316,-1.2,2.4,0.3,0.2,1.3,2,43.6425,-79.3872
317,-0.8,1.3,2.1,0.6,1.6,0,49.8803,-119.5004
318,0.4,2.2,1.6,-0.1,1.6,4,45.3176,-75.895
319,-0.4,1.2,1.1,0.0,0.9,1,49.1551,-121.9459
320,-0.2,1.7,1.8,0.3,2.0,1,49.289,-123.1294
321,-0.4,3.3,0.4,0.9,0.5,2,45.4036,-72.7097
322,-1.0,3.1,0.2,0.6,1.1,2,43.6425,-79.3872
323,-1.0,1.1,0.6,1.3,2.0,3,43.8087,-79.1307
324,0.3,2.7,1.4,1.5,0.3,4,43.7797,-79.4156
325,-0.6,1.4,1.4,1.3,1.6,0,43.6425,-79.3872
326,0.7,1.6,1.3,0.8,1.2,1,43.6425,-79.3872
327,-0.6,2.2,2.0,0.1,1.5,2,42.7742,-80.9746
328,-1.4,2.3,-0.4,-0.5,1.2,2,43.3248,-79.7957
329,0.1,2.0,2.6,0.8,1.5,4,43.7496,-79.4886
330,-1.9,2.4,0.0,0.6,1.6,2,43.4667,-81.1969
331,-0.4,1.4,1.5,-0.2,1.2,1,43.6619,-79.3952
332,0.7,2.5,1.9,1.0,1.0,4,43.6619,-79.3952
333,0.3,2.2,1.7,2.0,1.2,0,43.6425,-79.3872
334,-1.7,2.7,0.6,0.2,0.6,2,43.6667,-79.4167
335,-0.4,0.3,1.1,2.2,1.6,5,43.6667,-79.4167
336,-0.7,1.2,0.5,0.4,1.0,3,45.9535,-66.6704
337,-1.3,1.5,1.3,0.6,0.7,3,43.6497,-79.3952
338,1.3,1.5,1.3,-0.1,1.4,1,44.64100000000001,-63.5682
339,0.9,2.4,1.6,0.2,1.5,4,43.6425,-79.3872
340,-1.6,2.5,-0.1,0.4,0.0,2,45.6908,-73.6308
341,-0.5,1.3,1.2,0.1,1.1,1,44.3833,-79.7
342,0.1,1.8,1.7,0.0,0.2,1,43.6425,-79.3872
343,0.3,2.7,0.2,0.2,1.6,2,45.5,-73.5833
344,1.1,1.1,1.8,0.8,1.8,5,43.2645,-79.8664
345,0.2,2.1,2.2,0.4,2.2,4,48.4502,-123.3435
346,1.3,3.0,1.8,0.5,2.0,4,45.8919,-64.3699
347,-1.1,1.6,2.1,0.6,2.1,0,45.5,-73.5833
348,1.2,2.7,1.4,1.9,2.2,4,44.2763,-78.313
349,-0.2,1.7,2.4,1.7,2.0,0,49.6833,-103.0167
350,0.9,1.8,1.5,1.3,2.3,5,52.1193,-106.6594
351,1.9,1.0,1.8,0.5,1.4,5,52.1449,-106.6704
352,1.0,1.0,1.6,0.7,2.0,5,45.4833,-75.65
353,-0.1,2.8,1.8,1.0,1.8,4,51.0227,-114.1342
354,-0.2,2.0,0.9,0.7,1.5,1,55.1667,-118.8
355,1.8,0.7,2.0,1.6,1.5,5,45.3155,-75.837
356,-0.1,1.8,1.5,2.0,0.8,0,43.6565,-79.4079
357,0.6,2.8,2.1,0.5,1.6,4,48.4458,-123.3328
358,-1.6,3.0,-0.3,1.9,2.0,3,43.4543,-79.6921
359,-1.8,1.9,2.0,-1.3,1.9,2,45.5833,-62.6333
360,0.0,1.7,1.5,0.3,1.0,1,48.4349,-89.2192
361,-1.3,1.9,2.3,1.2,1.1,0,49.834,-97.1865
362,0.8,1.6,1.6,0.1,1.8,1,45.3176,-75.895
363,0.3,1.8,1.1,1.9,1.4,0,54.3146,-130.3413
364,-0.5,2.1,1.5,1.3,2.1,0,45.5298,-73.6153
365,0.7,1.4,1.2,0.7,1.4,1,44.231,-76.4791
366,-0.5,2.2,1.7,2.1,0.9,0,43.6425,-79.3872
367,0.6,2.3,1.1,0.2,0.8,4,44.9,-76.0167
368,-0.1,2.7,1.6,0.1,1.3,2,49.8826,-97.1623
369,0.6,2.7,1.9,2.0,-0.1,4,43.6425,-79.3872
370,0.2,3.8,0.5,1.2,1.2,2,51.0227,-114.1342
371,0.7,0.9,-0.1,1.6,1.0,3,51.0227,-114.1342
372,1.2,1.7,1.4,1.2,1.9,5,45.3928,-71.9441
373,0.6,1.6,1.9,1.1,1.7,5,43.6425,-79.3872
374,0.6,2.0,1.2,2.5,0.2,0,44.2507,-76.5828
375,0.1,2.7,1.7,1.2,2.1,4,43.6667,-79.4167
376,0.0,1.7,2.2,2.0,1.6,0,43.6667,-79.4167
377,0.4,0.0,1.9,0.4,1.6,1,43.5036,-80.5413
378,0.2,1.4,1.1,0.3,1.5,1,43.4529,-80.5281
379,-0.7,3.4,1.3,0.8,0.9,2,44.7803,-63.6916
